,radius(m),density(kg/m^3),radius(km),g,E
222,2838381.0,10806.62,2838.381,5.439490251137969,166847142877.01837
223,2851213.0,10790.86,2851.213,5.419731670067494,166749102779.58496
224,2864045.0,10775.01,2864.045,5.399973088997019,166643782506.82318
225,2876878.0,10759.08,2876.878,5.38021296813687,166531367680.20337
226,2889710.0,10743.05,2889.71,5.360454387066395,166411548851.03793
227,2902543.0,10726.93,2902.543,5.340694266206247,166284521852.2527
228,2915375.0,10710.72,2915.375,5.320935685135772,166150288986.863
229,2928207.0,10694.42,2928.207,5.301177104065296,166008881749.70554
230,2941040.0,10678.03,2941.04,5.2814169832051485,165860330162.32053
231,2953872.0,10661.54,2953.872,5.261658402134673,165704484547.2981
232,2966705.0,10644.97,2966.705,5.2418982812745245,165541693837.66397
233,2979537.0,10628.3,2979.537,5.222139700204051,165371655137.12762
234,2992369.0,10611.54,2992.369,5.202381119133574,165194554566.66544
235,3005202.0,10594.69,3005.202,5.182620998273427,165010421376.01205
236,3018034.0,10577.74,3018.034,5.162862417202951,164819111196.47638
237,3030866.0,10560.7,3030.866,5.143103836132475,164620809943.80685
238,3043699.0,10543.57,3043.699,5.123343715272328,164415546426.06516
239,3056531.0,10526.34,3056.531,5.103585134201852,164203179496.20337
240,3069364.0,10509.02,3069.364,5.083825013341704,163983898589.12454
241,3082196.0,10491.61,3082.196,5.06406643227123,163757720807.36914
242,3095028.0,10474.1,3095.028,5.044307851200754,163524519523.26654
243,3107861.0,10456.49,3107.861,5.024547730340607,163284322725.44485
244,3120693.0,10438.79,3120.693,5.00478914927013,163037306973.79578
245,3133526.0,10421.0,3133.526,4.985029028409983,162783503020.78198
246,3146358.0,10403.1,3146.358,4.965270447339507,162522621106.18433
247,3159190.0,10385.12,3159.19,4.945511866269031,162255158664.00797
248,3172023.0,10367.03,3172.023,4.925751745408883,161980674428.34894
249,3184855.0,10348.85,3184.855,4.905993164338408,161699506886.49484
250,3197688.0,10330.58,3197.688,4.886233043478261,161411684073.17496
251,3210520.0,10312.2,3210.52,4.866474462407786,161116921733.6201
252,3223352.0,10293.73,3223.352,4.84671588133731,160815560545.0297
253,3236185.0,10275.16,3236.185,4.826955760477162,160507471127.31323
254,3249017.0,10256.5,3249.017,4.807197179406686,160192841246.8334
255,3261849.0,10237.73,3261.849,4.7874385983362115,159871386381.43805
256,3274682.0,10218.87,3274.682,4.767678477476064,159543445443.11002
257,3287514.0,10199.9,3287.514,4.747919896405588,159208741043.86856
258,3300347.0,10180.84,3300.347,4.72815977554544,158867609372.01608
259,3313179.0,10161.68,3313.179,4.708401194474964,158519931388.48584
260,3326011.0,10142.42,3326.011,4.68864261340449,158165734473.65164
261,3338844.0,10123.06,3338.844,4.668882492544341,157805044736.10822
262,3351676.0,10103.6,3351.676,4.649123911473866,157437902539.9685
263,3364509.0,10084.04,3364.509,4.629363790613718,157064329434.95993
264,3377341.0,10064.38,3377.341,4.609605209543243,156684367954.08597
265,3390173.0,10044.62,3390.173,4.589846628472768,156298045032.86032
266,3403006.0,10024.76,3403.006,4.57008650761262,155905386366.76263
267,3415838.0,10004.79,3415.838,4.550327926542144,155506282286.21915
268,3428670.0,9984.73,3428.67,4.530569345471669,155101070436.07397
269,3441503.0,9964.56,3441.503,4.510809224611521,154689465523.589
270,3454335.0,9944.29,3454.335,4.491050643541045,154271671957.8704
271,3467168.0,9923.91,3467.168,4.471290522680897,153847552573.19748
272,3480000.0,9903.44,3480.0,4.451531941610423,153417468631.5417
273,3480000.0,5566.46,3480.0,4.451531941610423,86231875231.1047
274,3493636.0,5559.62,3493.636,4.430535369643699,86055567041.04323
275,3507273.0,5552.79,3507.273,4.409537257887302,85876401475.50421
276,3520909.0,5545.96,3520.909,4.388540685920578,85694246132.79024
277,3534545.0,5539.14,3534.545,4.367544113953854,85509261842.97202
278,3548182.0,5532.32,3548.182,4.346546002197457,85321299488.23068
279,3561818.0,5525.51,3561.818,4.3255494302307325,85130536986.2912
280,3575455.0,5518.7,3575.455,4.304551318474338,84936819081.46933
281,3589091.0,5511.89,3589.091,4.283554746507613,84740170503.84528
282,3602727.0,5505.08,3602.727,4.26255817454089,84540596548.48686
283,3616364.0,5498.28,3616.364,4.241560062784493,84338255008.70607
284,3630000.0,5491.48,3630.0,4.220563490817768,84133018194.75812
285,3630000.0,5491.48,3630.0,4.220563490817768,84133018194.75812
286,3642792.0,5485.1,3642.792,4.200866501334171,83937842907.7311
287,3655584.0,5478.72,3655.584,4.181169511850574,83740133392.11998
288,3668377.0,5472.35,3668.377,4.1614709825773035,83540043813.86812
289,3681169.0,5465.98,3681.169,4.1417739930937065,83337446843.73962
290,3693961.0,5459.61,3693.961,4.1220770036101095,83132344180.45679
291,3706753.0,5453.24,3706.753,4.102380014126511,82924745454.07939
292,3719545.0,5446.87,3719.545,4.082683024642913,82714660294.66736
293,3732338.0,5440.5,3732.338,4.062984495369644,82502089170.3182
294,3745130.0,5434.14,3745.13,4.043287505886046,82287211258.04506
295,3757922.0,5427.77,3757.922,4.023590516402448,82069724154.06517
296,3770714.0,5421.41,3770.714,4.003893526918851,81849940108.12642
297,3783506.0,5415.04,3783.506,3.984196537435254,81627566566.4824
298,3796299.0,5408.68,3796.299,3.964498008161984,81402904693.06294
299,3809091.0,5402.32,3809.091,3.944801018678387,81175833274.06117
300,3821883.0,5395.95,3821.883,3.92510402919479,80946201939.15201
301,3834675.0,5389.59,3834.675,3.9054070397111915,80714320582.26093
302,3847468.0,5383.23,3847.468,3.8857085104379223,80480037583.11662
303,3860260.0,5376.86,3860.26,3.8660115209543244,80243235068.0194
304,3873052.0,5370.5,3873.052,3.846314531470727,80004210621.63763
305,3885844.0,5364.13,3885.844,3.8266175419871287,79762675661.13367
306,3898636.0,5357.76,3898.636,3.8069205525035317,79518789054.66376
307,3911429.0,5351.4,3911.429,3.7872220232302625,79272696603.46468
308,3924221.0,5345.03,3924.221,3.7675250337466646,79024135110.42928
309,3937013.0,5338.66,3937.013,3.747828044263067,78773250857.07005
310,3949805.0,5332.29,3949.805,3.72813105477947,78520053473.44687
311,3962597.0,5325.91,3962.597,3.708434065295872,78264405639.32254
312,3975390.0,5319.54,3975.39,3.688735536022603,78006598254.07336
313,3988182.0,5313.16,3988.182,3.6690385465390056,77746373051.95918
314,4000974.0,5306.78,4000.974,3.6493415570554077,77483873882.81764
315,4013766.0,5300.4,4013.766,3.6296445675718094,77219110391.82645
316,4026558.0,5294.02,4026.558,3.609947578088212,76952092224.1633
317,4039351.0,5287.63,4039.351,3.5902490488149432,76682670098.39374
318,4052143.0,5281.24,4052.143,3.570552059331345,76411026976.65625
319,4064935.0,5274.85,4064.935,3.550855069847748,76137158807.17145
320,4077727.0,5268.46,4077.727,3.5311580803641505,75861075250.2348
321,4090519.0,5262.06,4090.519,3.5114610908805535,75582642329.15875
322,4103312.0,5255.66,4103.312,3.4917625616072834,75301999204.3243
323,4116104.0,5249.25,4116.104,3.472065572123685,75019042158.58083
324,4128896.0,5242.85,4128.896,3.452368582640088,74734052398.3443
325,4141688.0,5236.43,4141.688,3.4326715931564906,74446611980.02092
326,4154481.0,5230.02,4154.481,3.412973063883222,74157142621.61348
327,4167273.0,5223.6,4167.273,3.3932760743996235,73865401088.52287
328,4180065.0,5217.18,4180.065,3.3735790849160265,73571523837.41885
329,4192857.0,5210.75,4192.857,3.353882095432428,73275379950.47017
330,4205649.0,5204.32,4205.649,3.33418510594883,72977120555.5214
331,4218442.0,5197.88,4218.442,3.314486576675561,72676599019.02594
332,4231234.0,5191.44,4231.234,3.294789587191963,72373998585.49858
333,4244026.0,5184.99,4244.026,3.2750925977083667,72069173644.98802
334,4256818.0,5178.54,4256.818,3.2553956082247684,71762273768.19048
335,4269610.0,5172.08,4269.61,3.2356986187411714,71453170554.39674
336,4282403.0,5165.62,4282.403,3.2160000894679013,71141995316.05305
337,4295195.0,5159.15,4295.195,3.196303099984304,70828655249.32182
338,4307987.0,5152.68,4307.987,3.176606110500707,70513281019.59116
339,4320779.0,5146.2,4320.779,3.1569091210171085,70195746005.03278
340,4333571.0,5139.71,4333.571,3.1372121315335115,69876061336.13864
341,4346364.0,5133.22,4346.364,3.1175136022602423,69554355321.04684
342,4359156.0,5126.72,4359.156,3.0978166127766444,69230539256.03967
343,4371948.0,5120.22,4371.948,3.078119623293046,68904740749.14673
344,4384740.0,5113.71,4384.74,3.05842263380945,68576835523.07916
345,4397532.0,5107.19,4397.532,3.0387256443258517,68246834829.27254
346,4410325.0,5100.67,4410.325,3.0190271150525825,67914863858.90083
347,4423117.0,5094.14,4423.117,2.9993301255689846,67580838107.71047
348,4435909.0,5087.6,4435.909,2.979633136085387,67244749839.88418
349,4448701.0,5081.05,4448.701,2.9599361466017893,66906610412.6836
350,4461494.0,5074.5,4461.494,2.94023761732852,66566542451.80472
351,4474286.0,5067.94,4474.286,2.9205406278449217,66224464892.91074
352,4487078.0,5061.37,4487.078,2.9008436383613248,65880369402.91259
353,4499870.0,5054.79,4499.87,2.8811466488777273,65534267444.8979
354,4512662.0,5048.21,4512.662,2.8614496593941294,65186299639.74148
355,4525455.0,5041.61,4525.455,2.8417511301208602,64836197926.37343
356,4538247.0,5035.01,4538.247,2.822054140637262,64484273015.526
357,4551039.0,5028.4,4551.039,2.802357151153666,64130386716.052086
358,4563831.0,5021.79,4563.831,2.782660161670068,63774677623.00808
359,4576623.0,5015.16,4576.623,2.7629631721864705,63416902828.46585
360,4589416.0,5008.52,4589.416,2.7432646429132004,63057179874.23111
361,4602208.0,5001.88,4602.208,2.7235676534296034,62695688934.47987
362,4615000.0,4995.22,4615.0,2.703870663946005,62332168994.86862
363,4627792.0,4988.56,4627.792,2.6841736744624067,61966881923.52728
364,4640584.0,4981.89,4640.584,2.6644766849788106,61599714141.654205
365,4653377.0,4975.2,4653.377,2.6447781557055405,61230531883.28431
366,4666169.0,4968.51,4666.169,2.6250811662219435,60859638512.91728
367,4678961.0,4961.81,4678.961,2.605384176738345,60486899915.38498
368,4691753.0,4955.09,4691.753,2.585687187254748,60112206663.021866
369,4704545.0,4948.37,4704.545,2.5659901977711512,59735813896.45913
370,4717338.0,4941.64,4717.338,2.546291668497882,59357588345.881905
371,4730130.0,4934.89,4730.13,2.5265946790142837,58977468938.0994
372,4742922.0,4928.14,4742.922,2.5068976895306867,58595684165.30325
373,4755714.0,4921.37,4755.714,2.4872007000470884,58212007663.72713
374,4768506.0,4914.59,4768.506,2.46750371056349,57826571027.50754
375,4781299.0,4907.8,4781.299,2.4478051812902213,57439362250.96988
376,4794091.0,4901.0,4794.091,2.428108191806623,57050441555.52475
377,4806883.0,4894.19,4806.883,2.408411202323027,56659797156.20667
378,4819675.0,4887.37,4819.675,2.3887142128394285,56267441256.883
379,4832468.0,4880.54,4832.468,2.3690156835661598,55873361337.71863
380,4845260.0,4873.69,4845.26,2.3493186940825614,55477505183.027695
381,4858052.0,4866.83,4858.052,2.3296217045989644,55079975634.66826
382,4870844.0,4859.96,4870.844,2.309924715115366,54680785032.56939
383,4883636.0,4853.08,4883.636,2.2902277256317687,54279945746.89593
384,4896429.0,4846.18,4896.429,2.2705291963585,53877333468.91365
385,4909221.0,4839.27,4909.221,2.2508322068749025,53473124071.44007
386,4922013.0,4832.35,4922.013,2.2311352173913046,53067304651.06049
387,4934805.0,4825.42,4934.805,2.2114382279077063,52659887714.00137
388,4947597.0,4818.47,4947.597,2.19174123842411,52250777358.201164
389,4960390.0,4811.51,4960.39,2.1720427091508387,51840069682.94556
390,4973182.0,4804.53,4973.182,2.152345719667243,51427722707.6341
391,4985974.0,4797.55,4985.974,2.1326487301836448,51013937713.93403
392,4998766.0,4790.54,4998.766,2.1129517407000473,50598408389.55347
393,5011558.0,4783.53,5011.558,2.0932547512164494,50181466452.30331
394,5024351.0,4776.5,5024.351,2.0735562219431802,49762887085.41091
395,5037143.0,4769.45,5037.143,2.053859232459582,49342739197.5582
396,5049935.0,4762.4,5049.935,2.034162242975985,48921216355.91431
397,5062727.0,4755.32,5062.727,2.014465253492388,48498023257.922844
398,5075519.0,4748.24,5075.519,1.9947682640087896,48073480974.48948
399,5088312.0,4741.13,5088.312,1.9750697347355204,47647270933.38029
400,5101104.0,4734.02,5101.104,1.9553727452519223,47219765263.881836
401,5113896.0,4726.89,5113.896,1.9356757557683262,46790749100.91886
402,5126688.0,4719.74,5126.688,1.915978766284728,46360237766.420074
403,5139481.0,4712.58,5139.481,1.8962802370114589,45928315744.15053
404,5152273.0,4705.4,5152.273,1.8765832475278608,45494956046.57538
405,5165065.0,4698.2,5165.065,1.8568862580442635,45060145947.10862
406,5177857.0,4690.99,5177.857,1.8371892685606654,44623996121.48207
407,5190649.0,4683.77,5190.649,1.8174922790770671,44186519816.70078
408,5203442.0,4676.53,5203.442,1.7977937498037981,43747607700.90899
409,5216234.0,4669.27,5216.234,1.778096760320201,43307333458.91781
410,5229026.0,4661.99,5229.026,1.7583997708366037,42865683928.71867
